OVO-nummer;Naam;Korte naam;OVO-nummer moeder entiteit;Moeder entiteit
OVO003643;Autonoom gemeentebedrijf Memorial museum Passchendaele 1917;AGB MMP 1917
OVO003644;Autonoom Gemeentebedrijf Merchtem
OVO003645;Autonoom gemeentebedrijf Merelbeke;AGB Merelbeke
OVO003646;Autonoom Gemeentebedrijf Middelkerke
OVO003648;Autonoom Gemeentebedrijf Museum Leuven;AG Museum Leuven
OVO003649;Autonoom Gemeentebedrijf Nazareth
OVO003650;Autonoom Gemeentebedrijf Neerpelt
OVO003651;Autonoom Gemeentebedrijf Niel Argilla
OVO003652;Autonoom Gemeentebedrijf Nijlen
OVO003653;Autonoom Gemeentebedrijf Ninove
OVO003654;Autonoom Gemeentebedrijf Olen
OVO003655;Autonoom Gemeentebedrijf Oostkamp
OVO003656;Autonoom Gemeentebedrijf Opglabbeek
OVO003657;Autonoom gemeentebedrijf Oud-Turnhout
OVO003659;Autonoom Gemeentebedrijf Patrimonium Bonheiden
OVO003660;Autonoom Gemeentebedrijf Patrimonium Temse
OVO003661;Autonoom Gemeentebedrijf Puurs-Sint-Amands
OVO003662;Autonoom gemeentebedrijf Sport, Cultuur en Ontspanning Ronse;AGB SCO Ronse
OVO003663;Autonoom Gemeentebedrijf Roosdaal
OVO003664;Autonoom Gemeentebedrijf Schoten
OVO003665;Autonoom Gemeentebedrijf Sint-Katelijne-Waver
OVO003666;Autonoom Gemeentebedrijf Sint-Pieters-Leeuw
OVO003667;Autonoom Gemeentebedrijf Sport Actief Mechelen
OVO003668;Autonoom Gemeentebedrijf Sport en Ontspanning Hove
OVO003669;Autonoom Gemeentebedrijf Sport Houthalen-Helchteren
OVO003670;Autonoom Gemeentebedrijf Sport Huishout
OVO003671;Autonoom Gemeentebedrijf Sport, Cultuur en Recreatie Ieper;AGB VAUBAN
OVO003672;Autonoom Gemeentebedrijf Sport, Cultuur en Recreatie Kruibeke
OVO003673;Autonoom Gemeentebedrijf Sport AG
OVO003674;Autonoom Gemeentebedrijf Sportcentrum 't Hofeind
OVO003675;Autonoom Gemeentebedrijf Stad Deinze
OVO003676;Autonoom Gemeentebedrijf Stadsontwikkeling
OVO003677;AUTONOOM GEMEENTEBEDRIJF STADSONTWIKKELING BILZEN
OVO003678;Autonoom Gemeentebedrijf Stadsontwikkeling en Patrimoniumbeheer Ieper
OVO003679;Autonoom Gemeentebedrijf Stadsontwikkeling Leuven
OVO003680;Autonoom gemeentebedrijf Stadsontwikkeling Nieuwpoort
OVO003681;Autonoom gemeentebedrijf Stadsontwikkeling Peer
OVO003682;Autonoom gemeentebedrijf Stadsontwikkelingsbedrijf Diest
OVO003683;Autonoom gemeentebedrijf stadspatrimonium Sint-Truiden;AGB Patri
OVO003684;Autonoom gemeentebedrijf Stadsplanning Antwerpen
OVO003685;Autonoom gemeentebedrijf Stadsvernieuwing Oostende
OVO003686;Autonoom Gemeentebedrijf Steenokkerzeel
OVO003687;Autonoom Gemeentebedrijf 'T BAU-HUIS
OVO003688;Autonoom gemeentebedrijf Ternat
OVO003689;Autonoom Gemeentebedrijf Tessenderlo
OVO003690;Autonoom Gemeentebedrijf Tienen;AGB Tienen
OVO003691;Autonoom Gemeentebedrijf Tongeren
OVO003692;Autonoom Gemeentebedrijf Tremelo
OVO003693;AUTONOOM GEMEENTEBEDRIJF VILVOORDE
OVO003694;Autonoom Gemeentebedrijf Vismijn Oostende
OVO003695;Autonoom Gemeentebedrijf voor de Ontwikkeling van Sint-Truiden
OVO003696;Autonoom Gemeentebedrijf voor infrastructuur- en patrimoniumbeheer Turnhout
OVO003697;Autonoom gemeentebedrijf voor stadsontwikkeling
OVO003698;Autonoom Gemeentebedrijf voor vastgoedbeheer en stadsprojecten;VESPA
OVO003699;Autonoom Gemeentebedrijf Vrije Tijd
OVO003700;Autonoom gemeentebedrijf Westerlo
OVO003701;AUTONOOM GEMEENTEBEDRIJF WETTEREN
OVO003702;Autonoom Gemeentebedrijf Wingene
OVO003703;Autonoom Gemeentebedrijf Zandhoven
OVO003704;Autonoom Gemeentebedrijf Zaventem
OVO003705;Autonoom Gemeentebedrijf Zele
OVO003706;Autonoom gemeentebedrijf Zemst
OVO003707;Autonoom Gemeentebedrijf Zottegem
OVO003708;Autonoom Gemeentebedrijf Zwevegem;AGB Zwevegem
OVO003718;Autonoom Gemeentebedrijf Assenede
OVO003719;Autonoom Gemeentebedrijf Beerse;AGB Beerse
OVO003720;Autonoom Gemeentebedrijf Beersel
OVO003721;Autonoom Gemeentebedrijf Beheer Patrimonium Gemeente Edegem
OVO003722;AUTONOOM GEMEENTEBEDRIJF BEXIT
OVO003723;Autonoom Gemeentebedrijf Blankenberge
OVO003724;Autonoom Gemeentebedrijf Bocholt
OVO003725;Autonoom Gemeentebedrijf Boechout
OVO003726;Autonoom Gemeentebedrijf Boortmeerbeek
OVO003727;Autonoom Gemeentebedrijf Borgloon;AGB Borgloon
OVO003728;Autonoom Gemeentebedrijf Bornem
OVO003729;Autonoom Gemeentebedrijf Brasschaat
OVO003730;Autonoom Gemeentebedrijf Bredene
OVO003731;Autonoom Gemeentebedrijf Bree
OVO003732;Autonoom Gemeentebedrijf Buda
OVO003733;Autonoom Gemeentebedrijf Cultuurcentrum Diest;AGB Cultuurcentrum Diest
OVO003734;Autonoom Gemeentebedrijf De Kluize
OVO004698;Onderwijsvereniging van  Steden en Gemeenten;O.V.S.G.
OVO004806;Dienst gemeentelijke administratieve sancties (GAS);;OVO002149;Stad Leuven
OVO005410;Dienst Gemeentebelastingen;;OVO005407;Afdeling Financiën
OVO005476;Dienst Gemeentebelastingen;;OVO002195;Stad Ninove
OVO005621;Dienst Gemeentebelastingen;;OVO002237;Stad Sint-Niklaas
OVO005742;Dienst Gemeentelijke administratieve sancties;;OVO002255;Stad Turnhout
OVO005795;Dienst Gemeentebelastingen;;OVO002265;Stad Waregem
OVO006079;Dienst Gemeentelijk onderwijs;;OVO002008;Gemeente Balen
OVO006132;Dienst Gemeentelijke administratieve sancties;;OVO002011;Gemeente Beersel
OVO006156;Intergemeentelijke preventiedienst;;OVO002012;Gemeente Begijnendijk
OVO006424;Dienst Onthaal gemeentehuis;;OVO002034;Gemeente Brecht
OVO006540;Gemeentelijk magazijn;;OVO006536;Dienst Facility
OVO006660;Dienst Intergemeentelijke samenwerking;;OVO002059;Gemeente Erpe-Mere
OVO006695;Dienst Gemeentewerken;;OVO002061;Gemeente Evergem
